Disciplina Metodologia Cientifica, Nome joao, Curso Pos-Doc, Periodo 3, Opiniao ;
Disciplina Metodologia Cientifica, Nome magnus, Curso Doutorado, Periodo 1, Opiniao ;
Disciplina Metodologia Cientifica, Nome horacio, Curso Doutorado, Periodo 4, Opiniao ;
Disciplina Antropologia medica, Nome gaiek, Curso Pos-Doc, Periodo 6, Opiniao ;
Disciplina Antropologia medica, Nome magnus, Curso Mestrado, Periodo 4, Opiniao ;
Disciplina Bioestatistica 1, Nome joao, Curso Doutorado, Periodo 4, Opiniao ;
Disciplina Bioestatistica 1, Nome horacio, Curso Mestrado, Periodo 1, Opiniao ;
Disciplina Bioestatistica 1, Nome horacio, Curso Pos-Doc, Periodo 4, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 4, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome horacio, Curso Pos-Doc, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome horacio, Curso Doutorado, Periodo 5, Opiniao ;
Disciplina Bioetica, Nome , Curso Pos-Doc, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 6, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 2, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 6, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 4, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 6, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 6, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Pos-Doc, Periodo 6, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 5, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 2, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 2, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 8, Opiniao ;
Disciplina Bioestatistica 1, Nome , Curso Doutorado, Periodo 6, Opiniao ;
